Data,Horário ,Xixi,Cocô,,27.02.23,4
10.03.23,1:30,não ,pouco/médio,,,
10.03.23,2:15,não ,pouquíssimo ,,,
10.03.23,2:45,não ,pouco/Médio ,,,
10.03.23,3:45,cheia,não,,,
10.03.23,7:45,cheia,médio,,,
10.03.23,10:20,não ,pouquíssimo ,,,
10.03.23,10:50,cheia,pouco,,,
10.03.23,11:57,cheia,pouco,,,
10.03.23,14:20,cheia,pouco,,,
10.03.23,15:00,cheia,muito,,,
10.03.23,16:20,cheia,pouco,,,
10.03.23,18:40,não ,pouco,,,
10.03.23,18:52,na troca,pouco ,,,
10.03.23,20:42,cheia ,pouquíssimo ,,,
10.03.23,21:20,na troca,pouquíssimo ,,,
10.03.23,22:30,cheia ,pouquíssimo ,,,
10.03.23,23:40,não ,pouco ,,,
10.03.23,23:55,cheia,não,,,
11.03.23,0:10,não,muito,,,
11.03.23,0:33,não ,médio ,,,
11.03.23,6:15,cheia,muito,,,
11.03.23,9:50,cheia ,pouco,,,
11.03.23,12:15,na troca,médio/muito,,,
11.03.23,14:20,não ,muito,,,
11.03.23,15:45,cheia e na troca,pouquíssimo ,,,
11.03.23,19:10,recorde,médio ,,,
11.03.23,19:40,não ,pouco,,,
11.03.23,20:45,cheia,muito,,,
11.03.23,21:50,pouco,muito,,,
11.03.23,22:25,na troca,médio ,,,
11.03.23,23:05,pouco,médio ,,,
12.03.23,3:05,cheia,pouco,,,
12.03.23,6:10,cheia ,pouco,,,
12.03.23,9:35,cheia,pouco,,,
12.03.23,12:12,cheia ,pouquíssimo ,,,
12.03.23,13:20,cheia e na troca,pouquíssimo ,,,
12.03.23,15:35,cheia,médio/ muito,,,
12.03.23,17:40,cheia,pouco,,,
12.03.23,19:00,na troca,pouco,,,
12.03.23,20:10,pouco,pouco,,,
12.03.23,21:40,cheia e na troca ,pouco,,,
13.03.23,0:45,cheia,pouco,,,
13.03.23,0:55,não ,muito,,,
13.03.23,4:15,cheia e na troca,pouquíssimo ,,,
13.03.23,6:10,cheia,pouquíssimo ,,,
13.03.23,7:25,cheia,pouquíssimo ,,,
13.03.23,11:50,cheia,pouco,,,
13.03.23,12:27,cheia,não ,,,
13.03.23,13:40,cheia,pouco,,,
13.03.23,16:25,cheia e na troca ,pouquíssimo ,,,
13.03.23,16:50,cheia,pouco,,,
13.03.23,19:45,cheia,pouquíssimo ,,,
13.03.23,22:00,na troca,pouco,,,
13.03.23,22:20,na troca,muito,,,
14.03.23,2:48,cheia,medio,,,
14.03.23,4:00,cheia e na troca,pouco,,,
14.03.23,8:00,cheia e na troca,muito,,,
14.03.23,10:30,cheia e na troca,muito,,,
14.03.23,11:30,na troca,muito,,,
14.03.23,14:15,cheia e na troca,pouco/médio,,,
14.03.23,15:30,cheia,novo recorde,,,
14.03.23,17:50,na troca,pouco,,,
14.03.23,19:30,cheia e na troca,pouquíssimo ,,,
14.03.23,20:30,na troca,pouco,,,
14.03.23,22:23,cheia,pouco,,,
14.03.23,23:40,cheia,médio ,,,
15.03.23,3:50,cheia,pouco,,,
15.03.23,4:15,não ,pouco,,,
15.03.23,8:35,cheia,pouco,,,
15.03.23,10:27,cheia,pouco,,,
15.03.23,11:15,cheia,médio ,,,
15.03.23,13:10,cheia,médio ,,,
15.03.23,15:00,cheia,pouco,,,
15.03.23,17:50,cheia,pouco,,,
15.03.23,20:15,cheia e na troca,pouco,,,
16.03.23,0:20,cheia,médio ,,,
16.03.23,1:10,cheia,pouco/medio,,,
16.03.23,4:46,cheia,médio,,,
16.03.23,8:00,na troca,pouco,,,
16.03.23,9:45,cheia,pouco,,,
16.03.23,11:00,cheia e na troca,pouco,,,
16.03.23,14:10,cheia e na troca,médio/muito,,,
16.03.23,17:30,na troca,muito,,,
16.03.23,18:50,cheia ,pouquíssimo ,,,
16.03.23,20:43,cheia,pouquíssimo ,,,
16.03.23,22:35,cheia e na troca ,pouco,,,
17.03.23,2:25,cheia ,muito,,,
17.03.23,6:30,cheia ,pouquíssimo ,,,
17.03.23,9:47,cheia e na troca,pouco,,,
17.03.23,10:40,cheia,médio ,,,
17.03.23,13:30,cheia e na troca,pouco,,,
17.03.23,17:10,na troca,pouco,,,
17.03.23,18:25,cheia,médio ,,,
17.03.23,20:00,cheia e na troca,pouco,,,
17.03.23,21:35,cheia,médio ,,,
18.03.23,1:48,cheia,pouquíssimo ,,,
18.03.23,4:05,cheia,pouquíssimo ,,,
18.03.23,7:28,cheia,pouco,,,
18.03.23,9:42,cheia e na troca,médio ,,,
18.03.23,11:20,cheia e na troca,pouco,,,
18.03.23,13:30,cheia,médio ,,,
18.03.23,16:50,cheia ,muito,,,
18.03.23,17:50,no banho,muito,,,
18.03.23,20:13,cheia,pouco,,,
18.03.23,22:05,cheia e na troca,pouco,,,
18.03.23,22:35,não ,pouquíssimo ,,,
18.03.23,23:40,cheia,pouquíssimo ,,,
19.03.23,1:10,cheia ,pouquíssimo ,,,
19.03.23,4:03,na troca,pouco,,,
19.03.23,8:00,cheia e na troca ,muito ,,,
19.03.23,12:00,cheia e na troca ,pouco,,,
19.03.23,14:10,cheia e na troca ,pouquíssimo ,,,
19.03.23,17:00,cheia e na troca,pouco ,,,
19.03.23,18:20,cheia,não ,,,
19.03.23,18:40,cheia ,pouco,,,
19.03.23,20:55,cheia,pouco,,,
19.03.23,22:15,cheia,muito,,,
19.03.23,23:15,cheia,pouquíssimo ,,,
19.03.23,23:45,cheia,médio ,,,
20.03.23,1:12,cheia,pouquíssimo ,,,
20.03.23,4:40,cheia,não ,,,
20.03.23,8:25,cheia,médio ,,,
20.03.23,10:05,cheia,pouco,,,
20.03.23,11:00,cheia,pouco,,,
20.03.23,11:20,cheia ,pouquíssimo ,,,
20.03.23,12:50,cheia,muito,,,
20.03.23,16:15,cheia ,médio ,,,
20.03.23,17:50,cheia ,pouco ,,,
20.03.23,19:45,cheia,pouco,,,
20.03.23,21:30,cheia,pouco,,,
21.03.23,3:00,cheia e na troca ,muito ,,,
21.03.23,7:05,cheia,pouquíssimo ,,,
21.03.23,11:15,cheia e na troca,médio ,,,
21.03.23,15:00,cheia e na troca,médio ,,,
21.03.23,17:40,cheia e na troca,muito,,,
21.03.23,19:35,cheia ,pouco,,,
21.03.23,21:10,cheia,pouquíssimo ,,,
21.03.23,22:40,cheia,pouco,,,
21.03.23,23:25,cheia e na troca,pouco,,,
22.03.23,1:00,cheia e na troca,pouco/médio,,,
22.03.23,4:50,cheia,pouco,,,
22.03.23,5:30,na troca ,muito na troca,,,
22.03.23,8:40,cheia,pouco,,,
22.03.23,13:20,cheia,pouco,,,
22.03.23,15:20,cheia,médio e pouco no banho,,,
22.03.23,17:05,cheia,muito,,,
22.03.23,20:15,cheia e na troca,médio,,,
22.03.23,21:50,cheia,novo novo recorde,,,
22.03.23,23:10,cheia e na troca ,pouquíssimo ,,,
23.03.23,0:00,cheia e na troca,pouquíssimo,,,
23.03.23,3:50,cheia ,pouco,,,
23.03.23,5:45,cheia,pouquíssimo ,,,
23.03.23,9:10,cheia,pouco,,,
23.03.23,11:25,cheia,muito,,,
23.03.23,14:50,cheia e na troca,pouco,,,
23.03.23,17:20,cheia,pouco,,,
23.03.23,18:00,não ,muito,,,
23.03.23,18:15,cheia,pouquíssimo ,,,
23.03.23,21:25,cheia e na troca,pouquíssimo ,,,
24.03.23,0:41,cheia e na troca,pouquíssimo ,,,
24.03.23,2:48,cheia,pouquíssimo ,,,
24.03.23,3:48,cheia ,pouquíssimo ,,,
24.03.23,7:35,cheia,pouco,,,
24.03.23,7:50,na troca ,muito,,,
24.03.23,11:25,cheia e na troca,médio ,,,
24.03.23,13:50,cheia,médio ,,,
24.03.23,16:40,cheia ,pouco/médio ,,,
24.03.23,19:03,cheia ,pouco,,,
24.03.23,21:55,cheia,pouco,,,
24.03.23,23:05,cheia,pouco ,,,
25.03.23,0:53,cheia e na troca,não,,,
25.03.23,5:50,cheia,pouco,,,
25.03.23,7:45,cheia e na troca,pouco/médio ,,,
25.03.23,10:50,cheia,médio ,,,
25.03.23,12:45,cheia ,pouquíssimo ,,,
25.03.23,14:25,cheia ,médio/muito,,,
25.03.23,15:50,cheia,médio/muito,,,
25.03.23,17:05,cheia,médio/muito ,,,
25.03.23,19:05,cheia,pouco/médio ,,,
25.03.23,20:05,cheia e na troca ,pouco,,,
25.03.23,21:10,cheia e troca,médio,,,
25.03.23,21:50,não,muito,,,
25.03.23,23:00,cheia,pouquíssimo ,,,
26.03.23,0:50,cheia,pouquíssimo ,,,
26.03.23,7:10,cheia,pouquíssimo ,,,
26.03.23,11:45,cheia ,pouco/médio ,,,
26.03.23,12:50,cheia,pouco,,,
26.03.23,15:30,cheia,pouco,,,
26.03.23,19:20,cheia,pouco/médio,,,
